model,method,chapter,delta,se,n,acc
1.7b,nllb-200-distilled-600M,8,0.6343485030747708,0.5187905796960898,18,0.6666666666666666
llama 1b,google_word_by_word,,1.3639890686279252,0.16834053743197847,191,0.2879581151832461
llama 1b,helsinki,,1.3078312241369339,0.16681496079989613,191,0.29842931937172773
llama 1b,llm_prompt_high,,0.01573543635169834,0.1511109312569703,204,0.5686274509803921
llama 1b,llm_prompt_low,,1.1715213601494385,0.16352047660789756,191,0.32460732984293195
llama 1b,llm_prompt_medium,,0.8342821854403232,0.1658725168186249,173,0.3930635838150289
llama 1b,mBART-50,,1.0660179461012214,0.1613542780820706,191,0.34554973821989526
llama 1b,nllb-200-1.3B,,0.015735436351698277,0.1511109312569703,204,0.5686274509803921
llama 1b,nllb-200-distilled-600M,,1.0142563670690652,0.16041009194377578,191,0.35602094240837695
1.5b,google_word_by_word,,0.63872765409143,0.15207156884532963,204,0.6568627450980392
1.5b,helsinki,,0.16279812168031949,0.1660326393190087,204,0.75
1.5b,llm_prompt_high,,-0.039549838247827485,0.17436225003693875,204,0.7843137254901961
1.5b,llm_prompt_low,,-0.265567618234069,0.18553002567346685,204,0.8186274509803921
1.5b,llm_prompt_medium,,0.16279812168031954,0.16603263931900863,204,0.75
1.5b,mBART-50,,0.7074519150306514,0.15066467878860257,204,0.6421568627450981
1.5b,nllb-200-1.3B,,0.5449389931511384,0.15423202643015696,204,0.6764705882352942
1.5b,nllb-200-distilled-600M,,0.2704781166835464,0.1622039818479318,204,0.7303921568627451
1.7b,google_word_by_word,,0.9062059773838413,0.15962094300364932,204,0.6911764705882353
1.7b,helsinki,,0.46881630565938787,0.1961218764059474,160,0.76875
1.7b,llm_prompt_high,,-0.08968159295435377,0.201528012976215,204,0.8480392156862745
1.7b,llm_prompt_low,,0.4649641388916375,0.1738542826872753,204,0.7696078431372549
1.7b,llm_prompt_medium,,0.4036558786166377,0.17634296758525633,204,0.7794117647058824
1.7b,mBART-50,,0.5538552685028871,0.17047673666469107,204,0.7549019607843137
1.7b,nllb-200-1.3B,,0.1380787270787023,0.188708550280716,204,0.8186274509803921
1.7b,nllb-200-distilled-600M,,0.28800569651703317,0.19225713398002428,180,0.7944444444444444
