model,method,chapter,delta,se,n,acc
1.7b,llm_prompt_low,8,0.6027717540959504,0.6686907439294046,9,0.5555555555555556
1.7b,llm_prompt_medium,1,-0.11416495820100386,0.5526238325638592,22,0.8181818181818182
1.7b,llm_prompt_medium,2,0.609402908202693,0.6124017058691122,12,0.6666666666666666
1.7b,llm_prompt_medium,3,-2.043622623695912,1.7439906793952795,7,1.0
1.7b,llm_prompt_medium,4,0.8875310288850635,0.4413351938883882,22,0.5909090909090909
1.7b,llm_prompt_medium,5,1.1881668408766655,0.5680158933020357,13,0.46153846153846156
1.7b,llm_prompt_medium,6,-0.8212928951038169,0.9885104906190401,8,0.875
1.7b,llm_prompt_medium,7,1.4617787490673575,0.6634850966372737,9,0.4444444444444444
1.7b,llm_prompt_medium,8,0.13741259396681313,0.701223170896724,9,0.6666666666666666
1.7b,mBART-50,1,0.16820422460739734,0.5124111145310731,22,0.7727272727272727
1.7b,mBART-50,2,0.609402908202693,0.6124017058691122,12,0.6666666666666666
1.7b,mBART-50,3,1.0796177033900807,0.7579552157763304,7,0.5714285714285714
1.7b,mBART-50,4,0.6888652260328508,0.4507599793633105,22,0.6363636363636364
1.7b,mBART-50,5,0.1831258458761285,0.608996442632226,13,0.6923076923076923
1.7b,mBART-50,6,0.5488056048517368,0.7358502119930485,8,0.625
1.7b,mBART-50,7,0.553853035181878,0.7041926041254473,9,0.6666666666666666
1.7b,mBART-50,8,0.6027717540959505,0.6686907439294046,9,0.5555555555555556
1.7b,nllb-200-1.3B,1,0.16820422460739742,0.5124111145310731,22,0.7727272727272727
1.7b,nllb-200-1.3B,2,-0.2890392831164445,0.7544368367538862,12,0.8333333333333334
1.7b,nllb-200-1.3B,3,-0.3619890662120415,1.015601986480985,7,0.8571428571428571
1.7b,nllb-200-1.3B,4,1.0795546818087212,0.43564973864432266,22,0.5454545454545454
1.7b,nllb-200-1.3B,5,-0.7035692217990389,0.7477180161147718,13,0.8461538461538461
1.7b,nllb-200-1.3B,6,-0.8212928951038169,0.9885104906190401,8,0.875
1.7b,nllb-200-1.3B,7,1.4617787490673575,0.6634850966372737,9,0.4444444444444444
1.7b,nllb-200-1.3B,8,-0.40364337932895683,0.7794939835856572,9,0.7777777777777778
1.7b,nllb-200-distilled-600M,1,0.640320635082976,0.4643038999425594,22,0.6818181818181818
1.7b,nllb-200-distilled-600M,3,-0.3619890662120415,1.015601986480985,7,0.8571428571428571
1.7b,nllb-200-distilled-600M,4,0.6888652260328507,0.4507599793633106,22,0.6363636363636364
1.7b,nllb-200-distilled-600M,5,0.1831258458761285,0.608996442632226,13,0.6923076923076923
1.7b,nllb-200-distilled-600M,6,-0.038681277159797696,0.8073246348476082,8,0.75
1.7b,nllb-200-distilled-600M,7,0.5538530351818783,0.7041926041254473,9,0.6666666666666666
1.7b,nllb-200-distilled-600M,8,1.0451471793638563,0.6660926719558272,9,0.4444444444444444
llama 1b,google_word_by_word,,0.5809126540712385,0.22320134754053989,98,0.30612244897959184
llama 1b,helsinki,,0.434996201104838,0.21808775746787312,98,0.336734693877551
llama 1b,llm_prompt_high,,0.04072118626880376,0.2055421444643305,102,0.4215686274509804
llama 1b,llm_prompt_low,,0.2949849356036685,0.2141528351295599,98,0.3673469387755102
llama 1b,llm_prompt_medium,,0.03246495581826862,0.21975507185648693,89,0.42696629213483145
llama 1b,mBART-50,,0.24935866146743468,0.21307091005907866,98,0.37755102040816324
llama 1b,nllb-200-1.3B,,-0.3338503552590983,0.2034828863222986,102,0.5098039215686274
llama 1b,nllb-200-distilled-600M,,0.15937527838124843,0.211220274643523,98,0.3979591836734694
1.5b,google_word_by_word,,1.0239029662819945,0.20365132674904787,102,0.5196078431372549
1.5b,helsinki,,0.2804682000078802,0.21887093402287783,102,0.6862745098039216
1.5b,llm_prompt_high,,-0.023579580051644657,0.23229271675517082,102,0.7450980392156863
1.5b,llm_prompt_low,,-0.3123178549431736,0.2493600443949754,102,0.7941176470588235
1.5b,llm_prompt_medium,,0.3279963514150019,0.21716876554140765,102,0.6764705882352942
1.5b,mBART-50,,0.8149442162102355,0.20552177085532453,102,0.5686274509803921
1.5b,nllb-200-1.3B,,0.6870283867334108,0.20758228084193706,102,0.5980392156862745
1.5b,nllb-200-distilled-600M,,0.1830204739764631,0.2226894324390788,102,0.7058823529411765
1.7b,google_word_by_word,,1.1398985777102528,0.20388044902176264,102,0.5294117647058824
1.7b,helsinki,,0.5432284873769831,0.24278101993076845,80,0.6625
1.7b,llm_prompt_high,,-0.03462542429647293,0.24176266853025866,102,0.7745098039215687
1.7b,llm_prompt_low,,0.43786935984975944,0.2189020437831627,102,0.6862745098039216
1.7b,llm_prompt_medium,,0.48541057100866536,0.2171975776886122,102,0.6764705882352942
1.7b,mBART-50,,0.532239079598142,0.215619859072781,102,0.6666666666666666
1.7b,nllb-200-1.3B,,0.23923529694252926,0.2271710570802557,102,0.7254901960784313
1.7b,nllb-200-distilled-600M,,0.5184187230341645,0.2297632734455785,90,0.6666666666666666
