chapter,model,method,status,total,mcq_count,mcq_correct,mcq_accuracy,open_count,open_llm_score_mean,open_embedding_mean,answer_confidence_mean,insufficient_information_rate,evidence_supported_rate
7,llama 1b,llm_prompt_high,ok,18,9,6,0.6666666666666666,9,0.1111111111111111,0.23920372366765202,0.05555555555555555,0.5,0.05555555555555555
7,llama 1b,llm_prompt_low,ok,18,9,0,0.0,9,0.3333333333333333,0.3264512500285487,,,
7,llama 1b,mBART-50,ok,18,9,2,0.2222222222222222,9,0.1111111111111111,0.3172924807408779,,,
7,llama 1b,nllb-200-1.3B,ok,18,9,4,0.4444444444444444,9,0.3333333333333333,0.35246473648903137,,,
7,1.5b,google_word_by_word,ok,18,9,3,0.3333333333333333,9,0.1111111111111111,0.39769744364049825,,,
7,1.5b,llm_prompt_high,ok,18,9,4,0.4444444444444444,9,0.8888888888888888,0.5755012237734893,,,
7,1.5b,llm_prompt_low,ok,18,9,3,0.3333333333333333,9,1.0,0.5708814578677908,,,
7,1.5b,mBART-50,ok,18,9,3,0.3333333333333333,9,0.5555555555555556,0.5139838457222486,,,
7,1.5b,nllb-200-1.3B,ok,18,9,2,0.2222222222222222,9,0.6666666666666666,0.3528331894083332,,,
7,1.7b,google_word_by_word,ok,18,9,9,1.0,9,0.2222222222222222,0.40040542500732035,,,
7,1.7b,llm_prompt_high,ok,18,9,9,1.0,9,0.6666666666666666,0.4735940445540598,,,
7,1.7b,llm_prompt_low,ok,18,9,8,0.8888888888888888,9,0.4444444444444444,0.4873365831757624,,,
7,1.7b,mBART-50,ok,18,9,8,0.8888888888888888,9,0.6666666666666666,0.47504566477750754,,,
7,1.7b,nllb-200-1.3B,ok,18,9,8,0.8888888888888888,9,0.4444444444444444,0.3890584813520805,,,
8,llama 1b,google_word_by_word,ok,9,0,0,,9,0.1111111111111111,0.28191813040922986,,,
8,llama 1b,llm_prompt_high,ok,18,9,7,0.7777777777777778,9,0.3333333333333333,0.33967719342851516,0.1,0.6111111111111112,0.1111111111111111
8,llama 1b,llm_prompt_low,ok,9,0,0,,9,0.4444444444444444,0.28046601102792096,,,
8,llama 1b,mBART-50,ok,9,0,0,,9,0.1111111111111111,0.20749586889523114,,,
8,llama 1b,nllb-200-1.3B,ok,18,9,4,0.4444444444444444,9,0.6666666666666666,0.4174261991966541,,,
8,1.5b,google_word_by_word,ok,18,9,4,0.4444444444444444,9,0.6666666666666666,0.388113627674116,,,
8,1.5b,llm_prompt_high,ok,18,9,4,0.4444444444444444,9,0.5555555555555556,0.42881449993549936,,,
8,1.5b,llm_prompt_low,ok,18,9,5,0.5555555555555556,9,0.6666666666666666,0.3466258775004333,,,
8,1.5b,mBART-50,ok,18,9,6,0.6666666666666666,9,0.4444444444444444,0.38211863959641673,,,
8,1.5b,nllb-200-1.3B,ok,18,9,5,0.5555555555555556,9,0.5555555555555556,0.36095146399756084,,,
8,1.7b,google_word_by_word,ok,18,9,8,0.8888888888888888,9,0.3333333333333333,0.3784326041895193,,,
8,1.7b,llm_prompt_high,ok,18,9,9,1.0,9,0.5555555555555556,0.371965919064398,,,
