chapter,model,method,status,total,mcq_count,mcq_correct,mcq_accuracy,open_count,open_llm_score_mean,open_embedding_mean,answer_confidence_mean,insufficient_information_rate,evidence_supported_rate
8,1.5b,google_word_by_word,ok,18,9,4,0.4444444444444444,9,0.4444444444444444,,,,
8,1.5b,helsinki,ok,18,9,4,0.4444444444444444,9,0.3888888888888889,,,,
8,1.5b,llm_prompt_high,ok,18,9,4,0.4444444444444444,9,0.6111111111111112,,,,
8,1.5b,llm_prompt_low,ok,18,9,5,0.5555555555555556,9,0.4444444444444444,,,,
8,1.5b,llm_prompt_medium,ok,18,9,7,0.7777777777777778,9,0.5,,,,
8,1.5b,mBART-50,ok,18,9,6,0.6666666666666666,9,0.3333333333333333,,,,
8,1.5b,nllb-200-1.3B,ok,18,9,5,0.5555555555555556,9,0.5,,,,
8,1.5b,nllb-200-distilled-600M,ok,18,9,5,0.5555555555555556,9,0.5555555555555556,,,,
8,1.7b,google_word_by_word,ok,18,9,8,0.8888888888888888,9,0.4444444444444444,,,,
8,1.7b,helsinki,ok,18,9,5,0.5555555555555556,9,0.3888888888888889,,,,
8,1.7b,llm_prompt_high,ok,18,9,9,1.0,9,0.3888888888888889,,,,
8,1.7b,llm_prompt_low,ok,18,9,7,0.7777777777777778,9,0.16666666666666666,,,,
8,1.7b,llm_prompt_medium,ok,18,9,7,0.7777777777777778,9,0.5555555555555556,,,,
8,1.7b,mBART-50,ok,18,9,6,0.6666666666666666,9,0.5,,,,
8,1.7b,nllb-200-1.3B,ok,18,9,7,0.7777777777777778,9,0.6111111111111112,,,,
8,1.7b,nllb-200-distilled-600M,ok,18,9,8,0.8888888888888888,9,0.6666666666666666,,,,
