pool,pool_size,theta,arm,draws,tau,fit_slope,seed,step,mean_se,n_active
full,204,-1.0,random,500,0.5,group,2026,85,0.5612920152343986,500
full,204,-1.0,random,500,0.5,group,2026,86,0.5589940232328492,500
full,204,-1.0,random,500,0.5,group,2026,87,0.5568110753875309,500
full,204,-1.0,random,500,0.5,group,2026,88,0.5544679282634694,500
full,204,-1.0,random,500,0.5,group,2026,89,0.5524992654928746,500
full,204,-1.0,random,500,0.5,group,2026,90,0.5503358104121321,500
full,204,-1.0,random,500,0.5,group,2026,91,0.5483118296647511,500
full,204,-1.0,random,500,0.5,group,2026,92,0.5464450541158208,500
full,204,-1.0,random,500,0.5,group,2026,93,0.5445301431610685,500
full,204,-1.0,random,500,0.5,group,2026,94,0.5423690666450941,500
full,204,-1.0,random,500,0.5,group,2026,95,0.5402909481410848,500
full,204,-1.0,random,500,0.5,group,2026,96,0.5381986315236016,500
full,204,-1.0,random,500,0.5,group,2026,97,0.5362961199424088,500
full,204,-1.0,random,500,0.5,group,2026,98,0.534256896299069,500
full,204,-1.0,random,500,0.5,group,2026,99,0.5322676935134264,500
full,204,-1.0,random,500,0.5,group,2026,100,0.5304480960131325,500
full,204,-1.0,random,500,0.5,group,2026,101,0.5285333744874777,500
full,204,-1.0,random,500,0.5,group,2026,102,0.5266868348119033,500
full,204,0.0,adaptive,500,0.5,group,2026,1,0.9702310754334305,500
full,204,0.0,adaptive,500,0.5,group,2026,2,0.9430347177337799,500
full,204,0.0,adaptive,500,0.5,group,2026,3,0.9181007483543112,500
full,204,0.0,adaptive,500,0.5,group,2026,4,0.8951337574008895,500
full,204,0.0,adaptive,500,0.5,group,2026,5,0.8738764507540229,500
full,204,0.0,adaptive,500,0.5,group,2026,6,0.854243680085845,500
full,204,0.0,adaptive,500,0.5,group,2026,7,0.8358818171566662,500
full,204,0.0,adaptive,500,0.5,group,2026,8,0.8189206375398883,500
full,204,0.0,adaptive,500,0.5,group,2026,9,0.8029936641973127,500
full,204,0.0,adaptive,500,0.5,group,2026,10,0.7882366367544799,500
full,204,0.0,adaptive,500,0.5,group,2026,11,0.7744326970371271,500
full,204,0.0,adaptive,500,0.5,group,2026,12,0.7614813054547374,500
full,204,0.0,adaptive,500,0.5,group,2026,13,0.7492459039840614,500
full,204,0.0,adaptive,500,0.5,group,2026,14,0.7377510235427721,500
